name,short name,description,actor,start date,end date
Recruit and confirm the hiring committee,Recruit committee,Identification and confirmation of members to serve on the hiring committee,Admin board,"Jan 9, 2025","Feb 13, 2025"
Develop the job description,Write job description,Creation and approval of detailed job description for the Executive Director role,Hiring committee,"Jan 9, 2025","Mar 26, 2025"
Find and onboard an executive search firm,Hire search firm,Selection and contracting with an executive search firm,Hiring committee,"Jan 27, 2025","Mar 6, 2025"
Develop the call for the role,Draft & release call,Development of job announcement and application process details,Hiring committee,"Mar 13, 2025","Mar 26, 2025"
Market the call for the role and recruit qualified applicants,Promote & recruit,Promotion of the job opening and active recruitment of candidates by the search firm,Executive search firm,"Apr 3, 2025","May 5, 2025"
Create long list of candidates,Long list selected,Determine which candidates make the top 12 + 2 back ups for interviews with executive search firm,Hiring committee,"May 7, 2025","May 14, 2025"
Interviews and compile data on the long list of candidates,Long list interviews,Conducting initial interviews and compiling assessment data on candidates,Executive search firm,"May 15, 2025","Jun 2, 2025"
Review the long list data and select the short list,Review & shortlist,Reviewing compiled assessment data to determine short-listed candidates,Hiring committee,"Jun 3, 2025","Jun 10, 2025"
Panel interviews of the short list and fill out rubrics leading up to selection of final 3,Panel interviews,Conducting panel interviews and gathering detailed evaluation data to select the final three candidates,Hiring committee,"Jun 17, 2025","Jun 20, 2025"
"Community interviews of the final three, refining data in rubrics with community feedback",Community interviews,Conducting community stakeholder interviews of the final candidates and refining evaluation based on feedback,Community representatives,"Jun 24, 2025","Jun 26, 2025"
Deliberate and draft final recommendation,Draft recommendation,"Discussion, final deliberation, and preparation of the recommendation to the admin board",Hiring committee,"Jun 27, 2025","Jul 1, 2025"
Administrative support and HR compliance logistics,Admin & HR logistics,"Managing HR compliance, documentation, and administrative support throughout the process",Executive search firm,"Mar 6, 2025","Jul 3, 2025"
Official deliberation and close the contract,Final board decision,"Formal deliberation and official selection of the candidate, including signing the employment contract",Admin board,"Jul 2, 2025","Jul 3, 2025"
Decision communication and onboarding planning,Comms & onboarding,Planning and execution of internal and external communications regarding the decision and onboarding strategy,Hiring committee,"Jul 3, 2025","Aug 16, 2025"
Community memebers consulted for feedback on processes, Community Consultations, Ongoing consultations with community members for feedback on the hiring process,Community representatives,"Jan 9, 2025","Jul 1, 2025"
